n,action_name,motivation,feedback
103,weekly,-2,"Oui, mais pas sûr"
103,monthly,1,Oui
103,as_usual,3,Oui
99,weekly,-3,Non
99,monthly,-3,Non
99,as_usual,-3,Non
104,weekly,-3,"Oui, mais pas sûr"
104,monthly,3,Oui
104,as_usual,3,Oui
105,weekly,-1,Non
105,monthly,1,Oui
105,as_usual,1,Oui
106,weekly,-2,"Oui, mais pas sûr"
106,monthly,3,Oui
106,as_usual,3,Oui
107,weekly,-3,Non
107,monthly,2,Oui
107,as_usual,2,Oui
108,weekly,-3,"Oui, mais pas sûr"
108,monthly,2,"Oui, mais pas sûr"
108,as_usual,-2,Non
109,weekly,-3,Non
109,monthly,2,Oui
109,as_usual,3,Oui
110,weekly,1,"Oui, mais pas sûr"
110,monthly,2,Oui
110,as_usual,2,Oui
112,weekly,-3,Non
112,monthly,-1,"Oui, mais pas sûr"
112,as_usual,3,Oui
114,weekly,-3,"Oui, mais pas sûr"
114,monthly,1,Oui
114,as_usual,3,Oui
116,weekly,-3,"Oui, mais pas sûr"
116,monthly,3,Oui
116,as_usual,2,Oui
117,weekly,-2,Oui
117,monthly,-1,Oui
117,as_usual,1,Oui
118,weekly,-3,Non
118,monthly,-1,"Oui, mais pas sûr"
118,as_usual,3,Oui
119,weekly,-3,Non
119,monthly,-2,Oui
119,as_usual,3,Oui
120,weekly,-2,"Oui, mais pas sûr"
120,monthly,-2,"Oui, mais pas sûr"
120,as_usual,2,Oui
121,weekly,-3,Oui
121,monthly,0,Oui
121,as_usual,0,Oui
122,weekly,-3,"Oui, mais pas sûr"
122,monthly,3,Oui
122,as_usual,-2,Oui
123,weekly,-2,Non
123,monthly,1,Oui
123,as_usual,2,Oui
124,weekly,-3,Oui
124,monthly,2,Oui
124,as_usual,2,Oui
125,weekly,-2,Oui
125,monthly,2,Oui
125,as_usual,2,Oui
126,weekly,-3,Non
126,monthly,-1,Non
126,as_usual,2,Non
128,weekly,-2,"Oui, mais pas sûr"
128,monthly,2,Oui
128,as_usual,3,Oui
